phrase,topics1,topics2,topics3,topics4
сервис банка/банковские услуги/продукты банка,Банковские услуги (_Local_Banking_Services),,,
мне нужен оператор для физ лиц,Физлица (_Local_Person),,,
Перенести номер/перейти со своим номеров,Перенести номер (_Local_Number_Transfer),,,
Экстренный звонок/экстренно соедините с оператором/вопрос жизни и смерти,Экстренный вызов (_Local_Emergency_Call),,,
Проблема с переводом,УВ Проблемы с переводами (UV_RemittanceProblems),Проблема с переводом (_Local_Cant_Transfer),,
Связаться с оператором отделения,_General Оператор (_General_Operator),Оператор (Operator),,
Связаться с отделением банка/мне нужен номер филиала в городе сосновый бор,_General Приветствие (_General_Hello),,,
Подтвердить номер телефона,_General_Подтверждение сим-карты (_General_Sim_Confirmation),подтверждение симкарты (_Local_Sim_Confirmation),,
Изменить / отключить / увеличить / уменьшить лимиты на переводы,Вместо консультации,,,
какой статус кредитки,Статус (_Local_Status),_General Готовность карт (_General_TAKE_CARD) ,Готовность карт (CardReadiness) ,
через сбербанк не получается провести оплату на  банк,Проблема с переводом (_Local_Cant_Transfer),,,
банкомат завис,УВ Проблемы с банкоматами (UV_ATM_Problems),Проблема с банкоматом (_Local_ATM_Problem),Банкоматы (_Local_ATM),
скажите когда придут вознаграждение за пригласи друга,Условия (_Local_Conditions),,,
сколько остаток на депозитном счете ( вкладе),_General Условия вклада (_Ge﻿neral_Condition_Vklad),,,
Связь,"Мобильный оператор связи -Банка « Мобайл»
(_General_MVNO)",,,
свяжи/связаться,_General Оператор (_General_Operator),Оператор (Operator),,
я бы хотела поменять в личном кабинете номер телефона,-Онлайн (_Local_AO),Приложение (_Local_Application),,
восстановить логин и пароль банк клиенту,Временный пароль (_Local_Temp_Password),,,
Отключить все платные услуги/ Отключить все услуги,_General Без вопроса (_General_Whithout_Question),,,
Какие у меня подключены услуги,Вместо консультации на оператора,,,
Списание резерв по счету,УВ Странные операции (UV_Strange_Operation),,,
узнать код для входа в онлайн приложение ,Нет доступа (_Local_No_Access),,,
возврат переплаты по субсидии ижс ладно слать по договору солодиловой кристиной сергеевной,_General Ипотека (_General_Mortgage),,,
я вайлдберрис переслала первый раз в две тысячи и второй раз две тысячи зачислено было три тысячи/сумма получателю пришла меньше чем перевел,Проблема с переводом (_Local_Cant_Transfer),,,
как погасить досрочно,_General Досрочка УКД (_General_DOSROCHKA_UKD),Как оформить (_Local_How_To_Create),,
хочу хочу отказаться от рассрочки,Вместо консультации на оператора,,Потому что 1000,
связь с оператором мошенники экстренный звонок (экстренный вызов + тематика - будет только тематика) ,_General Мошенничество ,(_General_Fraud) Мошенничество (_Local_Fraud),,
через телефон,Приложение или -Онлайн (_Local_AM_Online),Приложение (_Local_Application),,
Вопрос по зарплатной карте,УВ Дебетовая карта (UV_Debitcard),Дебетовая карта (_Local_Debit_Card),Зарплатный (счет/ карта) (_Local_Salary),_General_ИЗК (_General_IZK)
 мобайл ,_General_Мобильный оператор связи -Банка « Мобайл» (_General_MVNO),Приложение или -Онлайн (_Local_AM_Online),Приложение (_Local_Application),
оплатить сотовую связь/мобильную,платеж (_Local_Payment),О способах пополнения (_Local_Repay_Credit),,
 смарт,_General_-Смарт (_General_-Smart), смарт (_Local_Smart),,
подписка кинопоиск/яндекс плюс,_General Подписки (_General_Podpiski),Подписки (_Local_Podpiski),,
что за подписка ,УВ Подписки (UV_Podpiski),,,
объясните программу долгосрочных сбережений/ПДС,_General Вклад (_General_Deposit),,,
заявка,Статус (_Local_Status),,,
кредитная заявка,Статус (_Local_Status),_General Кредитные заявки (_General_KZ),,
все операторы заняты,Оператор (Operator),_General Оператор (_General_Operator),,
Сколько денег на ипотечном счете/баланс ипотечного счета,_General График Платежей Ипотеки (_General_Mortgage_payment),Ипотека (_Local_Mortgage),,
Откуда задолженность,УВ Странные операции (UV_Strange_Operation),,,
 подписка,УВ Подписки (UV_Podpiski),,,
Кредит по кредитной карте,УВ Кредитная карта (UV_CreditCard),Кредитная картаКредитка (_Local_Credit_Card),Кредитная карта (именно карта) (_Local_CreditCard_Karta),
Тарифы банка,Вместо консультации на оператора,,,
Ограничения/снять ограничения,Без вопроса (_General_Whithout_Question),,,
Активировать приложение,Нет доступа (_Local_No_Access),,,
связь с оператором нужна по осаго,Условия (_Local_Conditions),,,
азама займы могут через  банк сделать,Оформить займ (_Local_New_MFO),,,
сим карта,Оператор связи (_Local_MVNO),_General_Подтверждение сим-карты (_General_Sim_Confirmation),подтверждение симкарты (_Local_Sim_Confirmation),
закрыть брокерский счет,Брокерский счет (_Local_Brokerage),_General Инвестиции (_General_Investing),,
Полное погашение кредита,Кредит (_Local_Credit),Кредит наличными (Про платеж) (_Local_DIS_Credit),,
оплата налог,_General Налоги (_General_Nalogi),платеж (_Local_Payment),,
мне нужен оператор,Оператор (Operator),_General Оператор (_General_Operator),,
пусть позвонит мне специалист,_General Оператор (_General_Operator),Оператор (Operator),,
Забыл пароль\сменить пароль я не помню пароль,Временный пароль (_Local_Temp_Password),,,
остаток узнать остаток денежных средств по кредиту,Кредит (_Local_Credit),,,
рассказать о досрочном погашении кредита,Кредит (_Local_Credit),Кредит наличными (Про платеж) (_Local_DIS_Credit),,
я хочу связаться с оператором,Оператор (Operator),_General Оператор (_General_Operator),,
заявка на досрочное погашение ипотечного кредита,Кредит (_Local_Credit),Ипотека (_Local_Mortgage),,
кредитная карта беспроцентный период снятие наличных,_General Проценты по КК (_General_Percent_Credit_Card),,,
по поводу денег в рассрочку,_General Рассрочка по дебетовой карте (_General_Installment_Debit_Card),Рассрочка (_Local_Installment),,
Перенести карту в другое отделение,Отмена доставки карты в отделение (_General_Cancel_Card_Branch),,,
Платеж в интернете не проходит ,Вместо консультации на оператора,,,
Онлайн платеж не проходит ,УВ Платеж (UV_Payment),,,
Неправильно снимают комиссию,УВ Странные операции (UV_Strange_Operation),,,
до скольки работают операторы ,_General Оператор (_General_Operator),Оператор (Operator),,
снятие наличных в банкомате,_General Банкоматы УКД (_General_ATM_UKD),Банкоматы (_Local_ATM),Снятие наличных (_Local_Cash_Withdrawal),
Полное погашение,Полностью/по всем (_Local_Fully),,,
Как мне погасить рассрочку частично двадцать тысяч ,Частично (_Local_Partly) ,Другой платеж (_Local_Other_Payment),,
Погасить рассрочку частично (досрочно),Другой платеж (_Local_Other_Payment),Рассрочка (_Local_Installment),,
Когда поступят деньги с момента возврата от ТСП прошло 15 дней,Вышел срок (_Local_Passed_Deadline),,,
Задолженность по кредитной карте,Кредитная картаКредитка (_Local_Credit_Card),,,
остаток узнать остаток по кредиту,Кредит наличными (Про платеж) (_Local_DIS_Credit),,,
поменяла сим карту не дает доступ в онлайн банк,_General Разблокировать приложение (_General_Unlock_App),Нет доступа (_Local_No_Access),,
оплатила вчера,_General Выписка (_General_BankStatement),Движение денежных средств (_Local_Transactions),,
Я не Василий +  вопрос ,Вместо консультации на оператора,,,
кредитный договор/договор,Без вопроса (_General_Whithout_Question),,,
договор по страховке,УВ Страхование (UV_Insurance),Страхование (_Local_Insurance),,
хочу поговорить,Оператор (Operator),_General Оператор (_General_Operator),,
статус дебетовой карты,_General Готовность карт (_General_TAKE_CARD),Готовность карт (CardReadiness) ,,
статус кредитной заявки ,Статус (_Local_Status),_General Кредитные заявки (_General_KZ),,
положено ли мне бонусы за,Кэшбэк (_Local_Cashback),Условия (_Local_Conditions),,
бонусы,Кэшбэк (_Local_Cashback),,,
как человек позвонил,_General Мне звонили (_General_ReceivedCall),,,
мне нужен код для входа в свой кабинет,Нет доступа (_Local_No_Access),,,
не работает в приложении,Без вопроса (_General_Whithout_Question),,,
Досудебная претензия,УВ Заявление (UV_Statement),,,
Пришлите реквизиты в смс/номер счета в смс,Запрос кодового слова (_General_Codeword_request),,,
который оформлен,Имеющийся кредит (_Local_Current_Credit),МФО (_Local_Current_MFO),,
нужен сотрудник по ипотеке/ипотечный менеджер,_General Оформление Ипотеки (_General_Reg_Mortage),,,
не надо блокировать карту а у меня карта есть блин,Нет  (Disagree),Потерял карту (_Local_Lost_Card),,
все заблокировать,Разблокировать карту (_General_UnBlock),,,
Закрыть все счета ,Баланс карты/счета (_Local_Balance),,,
Закрыть последний счет,Баланс карты/счета (_Local_Balance),,,
Текущий счет и брокерский,Баланс карты/счета (_Local_Balance),,,
Текущий счет и кредитный ,Баланс карты/счета (_Local_Balance),УВ Счет (UV_Account),,
на мой номер телефона привязан другой человек,_General Мошенничество_UNI (_General_Fraud_UNI),,,
не поступил платеж,УВ Платеж (UV_Payment),,,
когда на вас в суд позови оператора,УВ Заявление (UV_Statement),,,
"покупка, купить, как купить, про покупку, сделать покупку",Как купить ЦФА (_Local_DFA_BUY),,,
заявку на кредит отменить заявку на кредит,_General_Отмена кредитной заявки (_General_Cancel_Loan_Claim),,,
мой номер изменен на другой номер я его не меняла,_General Мошенничество ,Мошенничество (_Local_Fraud),,
кто то изменил мой номер телефона,_General Мошенничество_UNI (_General_Fraud_UNI),,,
не могу зайти в личный кабинет пишет поменял номер телефона я не менял номер телефона,_General Разблокировать приложение (_General_Unlock_App),Нет доступа (_Local_No_Access),,
Текущий счет,Текущий счет (_Local_Current_Account),УВ Счет (UV_Account),,
Счет кредита,УВ Счет (UV_Account),Кредит (_Local_Credit),,
Счет ипотеки,Ипотека (_Local_Mortgage),_General Оформление Ипотеки (_General_Reg_Mortage),,
Проблема с приложением/ Не работает приложение,АМ Подключение (_General_AM_Connection),Нет доступа (_Local_No_Access),,
вопрос блокировки карты и всех операций по счетам,вместо,,,
у меня странная смска пришла о смене номера я ничего не меняла,_General Мошенничество ,Мошенничество (_Local_Fraud),,
спасибо да конечно,Да (Agree),,,
